Journal name,Group,Category,JIF Quartile
STRUCTURE,Biology & Biochemistry,BIOPHYSICS,Q1
JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
ACS Bio & Med Chem Au,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
JOURNAL OF LIPOSOME RESEARCH,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOCHEMICAL JOURNAL,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOCHEMICAL SOCIETY TRANSACTIONS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,Biology & Biochemistry,BIOPHYSICS,Q1
FASEB JOURNAL,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
FASEB JOURNAL,Biology & Biochemistry,BIOLOGY,Q1
Lipids in Health and Disease,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
FEBS Journal,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
JOURNAL OF FOOD BIOCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOINORGANIC CHEMISTRY AND APPLICATIONS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
PLANT SCIENCE,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
JOURNAL OF LIPID RESEARCH,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Computational and Structural Biotechnology Journal,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
MACROMOLECULAR BIOSCIENCE,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Pesticide Biochemistry and Physiology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
NEUROCHEMISTRY INTERNATIONAL,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Interface Focus,Biology & Biochemistry,BIOLOGY,Q1
JOURNAL OF NEUROCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
PROCESS BIOCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Frontiers in Molecular Biosciences,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
MOLECULAR ECOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
ACS Chemical Neuroscience,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOCONJUGATE CHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Biomedicines,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
JOURNAL OF BIOLOGICAL CHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
PROTEOMICS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
YALE JOURNAL OF BIOLOGY AND MEDICINE,Biology & Biochemistry,BIOLOGY,Q1
Acta Crystallographica Section D-Structural Biology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Acta Crystallographica Section D-Structural Biology,Biology & Biochemistry,BIOPHYSICS,Q1
PLANT MOLECULAR BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
ACS Chemical Biology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
NEUROCHEMICAL RESEARCH,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,Biology & Biochemistry,BIOPHYSICS,Q1
Biophysical Reviews,Biology & Biochemistry,BIOPHYSICS,Q1
CYTOKINE,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Metabolites,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
MOLECULAR PHYLOGENETICS AND EVOLUTION,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOLOGICAL TRACE ELEMENT RESEARCH,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOMETALS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Plant Signaling & Behavior,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
RSC Medicinal Chemistry,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Open Biology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Proteomes,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Biology & Biochemistry,BIOLOGY,Q1
Biology-Basel,Biology & Biochemistry,BIOLOGY,Q1
MOLECULAR PLANT-MICROBE INTERACTIONS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
CURRENT MEDICINAL CHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
PHYTOCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,Biology & Biochemistry,BIOPHYSICS,Q1
Geobiology,Biology & Biochemistry,BIOLOGY,Q1
Life-Basel,Biology & Biochemistry,BIOLOGY,Q1
Biophysics Reviews,Biology & Biochemistry,BIOPHYSICS,Q1
RNA Biology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Animal Models and Experimental Medicine,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Expert Opinion on Drug Metabolism & Toxicology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
PROTEIN ENGINEERING DESIGN & SELECTION,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,Biology & Biochemistry,BIOPHYSICS,Q2
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
GLYCOBIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Chemical Biology & Drug Design,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BMB Reports,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Emerging Topics in Life Sciences,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Emerging Topics in Life Sciences,Biology & Biochemistry,BIOLOGY,Q1
Cosmetics,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
JOURNAL OF INORGANIC BIOCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Epigenetics,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
HUMAN MOLECULAR GENETICS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
MOLECULAR CARCINOGENESIS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Environmental Pollutants and Bioavailability,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
NAR Cancer,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,Biology & Biochemistry,BIOPHYSICS,Q2
BIOPOLYMERS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
BIOPOLYMERS,Biology & Biochemistry,BIOPHYSICS,Q2
NITRIC OXIDE-BIOLOGY AND CHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
IUBMB LIFE,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
Channels,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q2
QUARTERLY REVIEW OF BIOLOGY,Biology & Biochemistry,BIOLOGY,Q1
BIOPHYSICAL JOURNAL,Biology & Biochemistry,BIOPHYSICS,Q2
COMPUTATIONAL BIOLOGY AND CHEMISTRY,Biology & Biochemistry,BIOLOGY,Q1
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,Biology & Biochemistry,BIOPHYSICS,Q2
Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,Biology & Biochemistry,BIOPHYSICS,Q2
Scientifica,Biology & Biochemistry,BIOLOGY,Q1
Journal of Applied Biomaterials & Functional Materials,Biology & Biochemistry,BIOPHYSICS,Q2
RSC Chemical Biology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
GLYCOCONJUGATE JOURNAL,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Frontiers in Bioscience-Landmark,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Biology Letters,Biology & Biochemistry,BIOLOGY,Q2
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,Biology & Biochemistry,BIOPHYSICS,Q2
BIOORGANIC & MEDICINAL CHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF MOLECULAR RECOGNITION,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF MOLECULAR RECOGNITION,Biology & Biochemistry,BIOPHYSICS,Q2
BIOCHIMIE,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
BBA Advances,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
BBA Advances,Biology & Biochemistry,BIOPHYSICS,Q2
MOLECULAR IMMUNOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Non-Coding RNA,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,Biology & Biochemistry,BIOPHYSICS,Q2
BIOCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
MOLECULAR AND CELLULAR PROBES,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
FEBS LETTERS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
FEBS LETTERS,Biology & Biochemistry,BIOPHYSICS,Q2
CURRENT ISSUES IN MOLECULAR BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
MOLECULAR REPRODUCTION AND DEVELOPMENT,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF THERMAL BIOLOGY,Biology & Biochemistry,BIOLOGY,Q2
Life Science Alliance,Biology & Biochemistry,BIOLOGY,Q2
PEPTIDES,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
FREE RADICAL RESEARCH,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Metallomics,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF MEMBRANE BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Current Molecular Pharmacology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
BIOMETRIKA,Biology & Biochemistry,BIOLOGY,Q2
CHEMISTRY AND PHYSICS OF LIPIDS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
CHEMISTRY AND PHYSICS OF LIPIDS,Biology & Biochemistry,BIOPHYSICS,Q2
PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,Biology & Biochemistry,BIOPHYSICS,Q2
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Life Sciences in Space Research,Biology & Biochemistry,BIOLOGY,Q2
Innate Immunity,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
CHEMBIOCHEM,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
CHROMOSOME RESEARCH,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF CELLULAR BIOCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
MOLECULAR BIOLOGY REPORTS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Organogenesis,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
NMR IN BIOMEDICINE,Biology & Biochemistry,BIOPHYSICS,Q2
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,Biology & Biochemistry,BIOPHYSICS,Q2
PHYSIOLOGICAL MEASUREMENT,Biology & Biochemistry,BIOPHYSICS,Q2
RADIATION RESEARCH,Biology & Biochemistry,BIOLOGY,Q2
RADIATION RESEARCH,Biology & Biochemistry,BIOPHYSICS,Q2
Biomechanics and Modeling in Mechanobiology,Biology & Biochemistry,BIOPHYSICS,Q2
JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF MOLECULAR NEUROSCIENCE,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF STRUCTURAL BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF STRUCTURAL BIOLOGY,Biology & Biochemistry,BIOPHYSICS,Q2
MAMMALIAN GENOME,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Biophysical Reports,Biology & Biochemistry,BIOPHYSICS,Q2
BIOESSAYS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
BIOESSAYS,Biology & Biochemistry,BIOLOGY,Q2
BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
MOLECULAR AND CELLULAR BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
CELL BIOCHEMISTRY AND FUNCTION,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Advances in Redox Research,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
ADDICTION BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
ASTROBIOLOGY,Biology & Biochemistry,BIOLOGY,Q2
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,Biology & Biochemistry,BIOPHYSICS,Q3
MOLECULAR MICROBIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
EXTREMOPHILES,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
YEAST,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Biomolecular Concepts,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
DNA AND CELL BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
CURRENT PHARMACEUTICAL BIOTECHNOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
FISH PHYSIOLOGY AND BIOCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,Biology & Biochemistry,BIOPHYSICS,Q3
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
ANALYTICAL BIOCHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Current Research in Structural Biology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Current Research in Structural Biology,Biology & Biochemistry,BIOPHYSICS,Q3
PHOTOCHEMISTRY AND PHOTOBIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
PHOTOCHEMISTRY AND PHOTOBIOLOGY,Biology & Biochemistry,BIOPHYSICS,Q3
JOURNAL OF MOLECULAR MODELING,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF MOLECULAR MODELING,Biology & Biochemistry,BIOPHYSICS,Q3
Synthetic Biology,Biology & Biochemistry,BIOLOGY,Q2
Carbohydrate Research,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
MOLECULAR BIOTECHNOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
PROSTAGLANDINS & OTHER LIPID MEDIATORS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
BIOTECHNIQUES,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
CHEMISTRY & BIODIVERSITY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
CELL BIOCHEMISTRY AND BIOPHYSICS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
CELL BIOCHEMISTRY AND BIOPHYSICS,Biology & Biochemistry,BIOPHYSICS,Q3
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,Biology & Biochemistry,BIOLOGY,Q2
European Biophysics Journal,Biology & Biochemistry,BIOPHYSICS,Q3
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,Biology & Biochemistry,BIOPHYSICS,Q3
Advances in Biological Regulation,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Comparative Biochemistry and Physiology D-Genomics & Proteomics,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF BIOMECHANICS,Biology & Biochemistry,BIOPHYSICS,Q3
AMINO ACIDS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
Biomicrofluidics,Biology & Biochemistry,BIOPHYSICS,Q3
Molecular Omics,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
International Journal of Peptide Research and Therapeutics,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
BIOLOGICAL CHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
INSECT MOLECULAR BIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF MATHEMATICAL BIOLOGY,Biology & Biochemistry,BIOLOGY,Q2
Journal of Biophotonics,Biology & Biochemistry,BIOPHYSICS,Q3
BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,Biology & Biochemistry,BIOPHYSICS,Q3
CHROMOSOMA,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
STEROIDS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
FEBS Open Bio,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
RADIATION AND ENVIRONMENTAL BIOPHYSICS,Biology & Biochemistry,BIOLOGY,Q2
RADIATION AND ENVIRONMENTAL BIOPHYSICS,Biology & Biochemistry,BIOPHYSICS,Q3
Biochemistry and Cell Biology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q3
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
Current Opinion in Systems Biology,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
JOURNAL OF BIOLOGICAL PHYSICS,Biology & Biochemistry,BIOPHYSICS,Q3
BULLETIN OF MATHEMATICAL BIOLOGY,Biology & Biochemistry,BIOLOGY,Q2
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,Biology & Biochemistry,BIOPHYSICS,Q3
BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,Biology & Biochemistry,BIOPHYSICS,Q3
BIOPHYSICAL CHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
BIOPHYSICAL CHEMISTRY,Biology & Biochemistry,BIOPHYSICS,Q3
Biochemistry and Biophysics Reports,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
FLY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
JOURNAL OF CARBOHYDRATE CHEMISTRY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
BIOCHEMISTRY-MOSCOW,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
MICROSCOPY RESEARCH AND TECHNIQUE,Biology & Biochemistry,BIOLOGY,Q2
JOURNAL OF BIOLOGICAL RHYTHMS,Biology & Biochemistry,BIOLOGY,Q2
CRYOBIOLOGY,Biology & Biochemistry,BIOLOGY,Q2
JOURNAL OF CHEMICAL NEUROANATOMY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
MOLECULAR GENETICS AND GENOMICS,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
AEROBIOLOGIA,Biology & Biochemistry,BIOLOGY,Q2
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A JOURNAL OF BIOSCIENCES,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
Redox Experimental Medicine,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
JOURNAL OF THEORETICAL BIOLOGY,Biology & Biochemistry,BIOLOGY,Q2
TRANSGENIC RESEARCH,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
JOURNAL OF RADIATION RESEARCH,Biology & Biochemistry,BIOLOGY,Q2
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
FASEB BioAdvances,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
CURRENT PROTEIN & PEPTIDE SCIENCE,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
Integrative Organismal Biology,Biology & Biochemistry,BIOLOGY,Q2
JOURNAL OF BIOMOLECULAR NMR,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,Biology & Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q4
BIOSYSTEMS,Biology & Biochemistry,BIOLOGY,Q2
BIOLOGICAL BULLETIN,Biology & Biochemistry,BIOLOGY,Q2
